,Công nghệ,Giáo dục,Giải trí,Khoa học,Kinh tế,Nhà đất,Pháp luật,Thế giới,Thể thao,Văn hóa,Xe cộ,Xã hội,Đời sống
Công nghệ,207,4,2,1,13,2,6,14,0,0,0,8,4
Giáo dục,2,170,5,1,2,0,9,4,3,3,0,5,1
Giải trí,0,4,572,0,1,0,5,4,1,16,0,0,6
Khoa học,2,0,2,93,0,0,4,1,1,4,0,1,7
Kinh tế,17,8,0,0,577,10,9,11,0,7,2,39,3
Nhà đất,2,4,0,1,8,211,7,2,0,9,1,13,5
Pháp luật,9,5,6,11,13,16,1000,14,1,2,0,31,13
Thế giới,6,0,0,4,14,0,10,526,0,3,0,6,2
Thể thao,0,3,2,1,0,0,0,1,450,2,0,1,2
Văn hóa,1,8,15,5,6,3,2,4,2,258,0,8,7
Xe cộ,2,0,0,0,2,0,0,0,0,0,108,2,0
Xã hội,7,10,0,6,28,15,28,3,0,5,3,583,6
Đời sống,5,3,19,4,2,0,9,2,0,10,1,5,385
